team,played,w,d,l,gf,ga,gd,pts
France,5,5,0,0,14,2,12,15
England,5,4,1,0,11,5,6,13
Mexico,5,4,0,1,10,3,7,12
Norway,5,4,0,1,12,9,3,12
Morocco,5,3,2,0,10,4,6,11
Spain,4,3,1,0,8,0,8,10
Argentina,4,3,1,0,9,2,7,10
Brazil,5,3,1,1,10,4,6,10
Switzerland,4,3,1,0,9,3,6,10
Colombia,4,3,1,0,5,1,4,10
USA,4,3,0,1,10,4,6,9
Netherlands,4,2,2,0,11,5,6,8
Portugal,4,2,2,0,8,2,6,8
Germany,4,2,1,1,11,5,6,7
Canada,5,2,1,2,9,6,3,7
Belgium,4,1,3,0,8,4,4,6
Egypt,4,1,3,0,6,4,2,6
Ivory Coast,4,2,0,2,5,4,1,6
Croatia,4,2,0,2,6,7,-1,6
Japan,4,1,2,1,8,5,3,5
Australia,4,1,2,1,3,3,0,5
Paraguay,5,1,2,2,3,6,-3,5
Senegal,4,1,1,2,10,8,2,4
DR Congo,4,1,1,2,5,5,0,4
Cape Verde,4,0,4,0,3,3,0,4
Ghana,4,1,1,2,2,3,-1,4
South Africa,4,1,1,2,2,4,-2,4
Ecuador,4,1,1,2,2,4,-2,4
Sweden,4,1,1,2,7,10,-3,4
Austria,4,1,1,2,6,9,-3,4
Bosnia & Herzegovina,4,1,1,2,5,8,-3,4
Algeria,4,1,1,2,5,9,-4,4
Iran,3,0,3,0,3,3,0,3
South Korea,3,1,0,2,2,3,-1,3
Turkey,3,1,0,2,3,5,-2,3
Scotland,3,1,0,2,1,4,-3,3
Uruguay,3,0,2,1,3,4,-1,2
Saudi Arabia,3,0,2,1,1,5,-4,2
Czech Republic,3,0,1,2,2,6,-4,1
New Zealand,3,0,1,2,4,10,-6,1
Qatar,3,0,1,2,2,10,-8,1
Curaçao,3,0,1,2,1,9,-8,1
Panama,3,0,0,3,0,4,-4,0
Jordan,3,0,0,3,3,8,-5,0
Haiti,3,0,0,3,2,8,-6,0
Uzbekistan,3,0,0,3,2,11,-9,0
Tunisia,3,0,0,3,2,12,-10,0
Iraq,3,0,0,3,1,12,-11,0
